class_code,generation,group_number,group_master,on_offline,group_leave,leave_point,avg_point_m1,avg_point_m2,avg_point_m1m2,delta_m2_m1,avg_point_all,months_observed,group_size,age_sd,age_range,job_domain_cnt,major_cnt,has_leader
1,8,3,True,온라인,False,해당없음,0.48,2.1,1.29,1.62,1.17625,4.0,5,2.645751311,7.0,1,4,True
6,8,7,True,온라인,False,해당없음,0.8,1.75,1.275,0.95,1.29375,4.0,4,1.527525232,3.0,1,3,True
16,11,2,True,오프라인,False,해당없음,3.6,4.4,4.0,0.8,2.466666667,3.0,2,0.7071067812,1.0,1,2,True
7,10,6,True,오프라인,True,중간 휴회기간 이전,-0.5,1.0,0.25,1.5,0.3,4.0,4,1.5,3.0,1,4,True
1,10,5,False,오프라인,False,해당없음,1.1,2.2,1.65,1.1,0.575,4.0,6,4.366539438,12.0,1,6,True
4,8,12,True,온라인,False,해당없음,0.975,1.75,1.3625,0.775,0.93875,4.0,4,1.5,3.0,1,2,True
9,10,6,False,온라인,False,해당없음,1.0,-0.5,0.25,-1.5,0.0,3.0,5,1.341640786,3.0,1,5,True
9,10,7,False,온오프라인,False,해당없음,1.4,1.8,1.6,0.4,1.533333333,3.0,4,2.0,4.0,2,4,True
2,9,3,False,오프라인,False,해당없음,1.6,2.2,1.9,0.6,1.125,4.0,4,1.707825128,4.0,1,3,True
13,11,3,False,온라인,False,해당없음,3.4,4.0,3.7,0.6,2.266666667,3.0,4,2.217355783,5.0,1,4,True
7,11,6,False,온라인,False,해당없음,3.0,-0.6,1.2,-3.6,0.6,3.0,4,1.707825128,4.0,1,4,True
4,10,7,False,오프라인,False,해당없음,1.6,1.4,1.5,-0.2,0.9,4.0,5,0.5477225575,1.0,1,5,True
6,10,1,False,오프라인,False,해당없음,1.8,2.9,2.35,1.1,1.5,4.0,5,1.303840481,3.0,1,5,True
4,8,19,False,온라인,False,해당없음,1.7,1.8,1.75,0.1,0.9875,4.0,5,0.8366600265,2.0,1,4,True
4,11,1,True,오프라인,False,해당없음,4.0,8.0,6.0,4.0,4.666666667,3.0,5,1.58113883,4.0,1,5,True
3,11,1,False,오프라인,False,해당없음,4.6,14.0,9.3,9.4,6.0,3.0,4,2.516611478,6.0,2,3,True
13,9,2,False,오프라인,True,중간 휴회기간 이후,,,,,,,4,1.732050808,4.0,1,3,True
8,11,1,False,오프라인,False,해당없음,3.4,4.0,3.7,0.6,3.133333333,3.0,5,2.121320344,5.0,1,5,True
4,11,3,False,오프라인,False,해당없음,3.4,4.0,3.7,0.6,3.133333333,3.0,3,3.605551275,7.0,2,3,True
8,10,1,False,온라인,False,해당없음,1.0,1.0,1.0,0.0,0.5,3.0,6,8.461678321,23.0,1,6,True
8,10,5,False,오프라인,False,해당없음,5.3,5.0,5.15,-0.3,5.5,3.0,3,0.5773502692,1.0,1,3,True
4,11,6,False,오프라인,False,해당없음,3.6,4.8,4.2,1.2,3.466666667,3.0,5,0.7071067812,2.0,1,5,True
6,10,4,True,온라인,False,해당없음,-0.5,-0.5,-0.5,0.0,-0.5,4.0,3,2.645751311,5.0,1,3,True
1,8,9,False,오프라인,False,해당없음,0.64,0.0,0.32,-0.64,0.46,4.0,5,1.224744871,3.0,1,3,True
13,11,5,True,온라인,True,중간 휴회기간 이후,0.0,6.0,3.0,6.0,1.8,3.0,4,2.645751311,6.0,2,4,True
4,8,3,True,오프라인,False,해당없음,1.0,2.9,1.95,1.9,1.1075,4.0,6,0.8366600265,2.0,1,3,True
4,8,15,False,오프라인,False,해당없음,1.0,0.0,0.5,-1.0,0.25,4.0,6,1.048808848,3.0,1,2,True
4,9,7,False,오프라인,False,해당없음,1.2,0.9,1.05,-0.3,0.625,4.0,4,2.0,4.0,1,2,True
4,8,8,False,오프라인,False,해당없음,0.9,0.0,0.45,-0.9,0.325,4.0,5,3.535533906,9.0,1,4,True
11,11,5,False,오프라인,False,해당없음,3.8,4.8,4.3,1.0,2.666666667,3.0,5,1.923538406,5.0,2,5,True
7,8,4,False,오프라인,False,해당없음,1.0,1.9,1.45,0.9,0.9,4.0,6,1.825741858,4.0,1,1,True
4,9,15,False,오프라인,False,해당없음,1.8,1.2,1.5,-0.6,0.975,4.0,4,1.154700538,2.0,1,2,True
8,8,6,False,온라인,False,해당없음,0.67,0.0,0.335,-0.67,0.1675,4.0,6,1.632993162,4.0,1,3,True
2,9,3,False,오프라인,False,해당없음,1.6,2.2,1.9,0.6,1.125,4.0,4,1.707825128,4.0,1,3,True
8,8,4,False,오프라인,False,해당없음,1.416,1.83,1.623,0.414,1.3655,4.0,6,1.966384161,4.0,1,4,True
8,10,3,False,온라인,False,해당없음,1.2,-0.5,0.35,-1.7,0.06666666667,3.0,4,1.154700538,2.0,1,4,True
3,10,16,True,온라인,False,해당없음,1.0,-0.5,0.25,-1.5,-0.125,4.0,4,0.5,1.0,1,4,True
6,10,3,True,오프라인,False,해당없음,2.4,1.6,2.0,-0.8,2.35,4.0,5,4.242640687,6.0,1,2,True
4,8,9,False,온라인,False,해당없음,1.0,1.9,1.45,0.9,1.225,4.0,4,1.414213562,3.0,1,2,True
9,8,1,False,온라인,True,중간 휴회기간 이후,0.8,0.0,0.4,-0.8,0.2,4.0,5,2.588435821,7.0,1,4,True
4,8,9,False,온라인,False,해당없음,1.0,1.9,1.45,0.9,1.225,4.0,4,1.414213562,3.0,1,2,True
4,10,4,False,오프라인,False,해당없음,1.2,1.0,1.1,-0.2,0.3,4.0,5,1.788854382,4.0,2,5,False
1,9,5,False,온라인,False,해당없음,2.2,2.0,2.1,-0.2,1.975,4.0,5,1.140175425,3.0,1,5,True
5,8,6,True,오프라인,False,해당없음,1.0,1.6,1.3,0.6,1.525,4.0,5,2.167948339,5.0,1,4,True
15,11,2,False,오프라인,False,해당없음,2.9,4.0,3.45,1.1,2.1,3.0,3,2.0,4.0,1,2,True
8,9,8,True,오프라인,False,해당없음,2.6,1.6,2.1,-1.0,0.8,4.0,6,2.160246899,6.0,2,2,True
2,11,4,False,오프라인,False,해당없음,3.6,4.0,3.8,0.4,2.333333333,3.0,4,1.154700538,2.0,2,4,True
4,10,7,False,오프라인,False,해당없음,1.6,1.4,1.5,-0.2,0.9,4.0,5,0.5477225575,1.0,1,5,True
6,8,5,False,오프라인,True,중간 휴회기간 이후,1.0,2.0,1.5,1.0,1.2575,4.0,5,1.290994449,3.0,1,3,True
2,8,2,False,해당없음,True,중간 휴회기간 이전,0.83,0.0,0.415,-0.83,0.2075,4.0,6,1.032795559,3.0,1,4,False
2,11,5,False,오프라인,False,해당없음,3.6,4.0,3.8,0.4,3.2,3.0,5,1.290994449,3.0,1,4,True
6,11,1,False,온라인,False,해당없음,-1.1,-0.6,-0.85,0.5,-0.7666666667,3.0,3,1.527525232,3.0,1,3,True
11,9,2,True,오프라인,True,중간 휴회기간 이후,,,,,,,4,1.290994449,3.0,1,4,True
6,8,5,False,온라인,True,기말 휴회기간 이후,1.0,2.0,1.5,1.0,1.2575,4.0,5,1.290994449,3.0,1,3,True
1,8,6,True,온라인,False,해당없음,0.8,2.0,1.4,1.2,0.7,4.0,4,1.258305739,3.0,1,3,True
5,10,4,False,온라인,False,해당없음,2.0,0.2,1.1,-1.8,0.425,4.0,4,1.732050808,3.0,1,4,True
7,11,6,True,온라인,False,해당없음,3.0,-0.6,1.2,-3.6,0.6,3.0,4,1.707825128,4.0,1,4,True
5,10,1,False,오프라인,False,해당없음,1.2,1.0,1.1,-0.2,0.3,4.0,5,2.792848009,6.0,1,5,True
4,10,4,False,오프라인,True,중간휴회기간 이전,1.2,1.0,1.1,-0.2,0.3,4.0,5,1.788854382,4.0,2,5,False
6,8,4,False,오프라인,False,해당없음,1.0,2.0,1.5,1.0,0.75,4.0,6,1.516575089,4.0,1,3,True
6,11,6,False,온라인,False,해당없음,2.7,4.4,3.55,1.7,3.366666667,3.0,5,0.8366600265,2.0,1,4,True
3,11,4,False,오프라인,False,해당없음,3.4,-0.6,1.4,-4.0,0.7333333333,3.0,3,2.828427125,4.0,2,2,True
2,11,7,False,온라인,False,해당없음,4.1,4.4,4.25,0.3,2.633333333,3.0,4,0.9574271078,2.0,1,4,True
4,8,2,True,오프라인,False,해당없음,1.0,3.75,2.375,2.75,1.80825,4.0,6,1.643167673,4.0,1,3,True
13,9,1,False,오프라인,False,해당없음,1.6,3.0,2.3,1.4,1.95,4.0,6,2.926886856,8.0,1,5,True
11,11,5,False,오프라인,False,해당없음,3.8,4.8,4.3,1.0,2.666666667,3.0,5,1.923538406,5.0,2,5,True
2,10,13,False,온라인,False,해당없음,1.0,-0.5,0.25,-1.5,-0.125,4.0,5,3.0,6.0,1,3,True
5,8,7,False,온라인,False,해당없음,1.0,2.6,1.8,1.6,1.76,4.0,6,1.861898673,5.0,1,4,True
1,8,7,False,오프라인,False,해당없음,0.6,0.0,0.3,-0.6,0.15,4.0,5,1.516575089,4.0,1,4,True
5,8,4,False,오프라인,False,해당없음,1.0,1.66,1.33,0.66,1.03375,4.0,4,1.892969449,4.0,1,3,True
4,9,2,False,오프라인,False,해당없음,1.2,2.3,1.75,1.1,0.625,4.0,5,0.8366600265,2.0,2,3,True
2,10,12,True,온라인,False,해당없음,1.2,-0.5,0.35,-1.7,-0.075,4.0,5,0.8366600265,2.0,1,5,True
2,9,8,True,오프라인,False,해당없음,2.8,4.0,3.4,1.2,1.45,4.0,5,1.707825128,4.0,1,3,True
5,8,1,False,오프라인,False,해당없음,1.44,2.28,1.86,0.84,1.485,4.0,5,1.140175425,3.0,1,3,True
5,8,7,False,온라인,False,해당없음,1.0,2.6,1.8,1.6,1.76,4.0,6,1.861898673,5.0,1,4,True
